Tests,Sum of 15,Ave RMSE of 15 mins,"RMSE 15 OFF, 15 OFF","RMSE 15 OFF, 15 ON","RMSE 15 ON, 15 ON","RMSE 15 ON, 15 OFF",Total Tests Used,Average RMSE
463,0,0.072414943025755,0.144907430679003,,,,,
464,0,0.0723379770149367,,,,,,
465,0,0.0722608522626233,0.14459882927756,,,,,
466,0,0.0721839642889468,,,,,,
467,0,0.0721073370608541,0.144291301349801,,,,,
468,0,0.0720309826298046,,,,,,
469,0,0.0719545654414456,0.14398554807125,,,,,
470,0,0.0718786377936712,,,,,,
471,0,0.0718029081996934,0.143681545993365,,,,,
472,0,0.0718144305209648,,,,,,
473,0,0.0724061002360377,0.144220530757003,,,,,
474,0,0.072366819635868,,,,,,
475,0,0.0723093284665437,0.144676148102412,,,,,
476,0,0.0722542989486015,,,,,,
477,0,0.0721921739888727,0.144446472937474,,,,,
478,0,0.0721343317340091,,,,,,
479,0,0.072077562904828,0.144211894638837,,,,,
480,0,0.0720220279033463,,,,,,
481,0,0.0719749046427929,0.143996932546139,,,,,
482,0,0.0719128310584584,,,,,,
483,0,0.0718996416260338,0.143812472684492,,,,,
484,0,0.0718425720142228,,,,,,
485,0,0.0718018013428486,0.143644373357071,,,,,
486,0,0.0717610705619462,,,,,,
487,0,0.0717022141162321,0.143463284678178,,,,,
488,0,0.0716454176034277,,,,,,
489,0,0.0732497332539683,0.144895150857396,,,,,
490,0,0.0751475145453349,,,,,,
491,0,0.0751097493583364,0.150257263903671,,,,,
492,0,0.0750338253895445,,,,,,
493,0,0.0749584147001949,0.149992240089739,,,,,
494,5,0.0755003120114927,,,,,,
495,15,0.0755469367962041,,0.150505351496399,,,,
496,15,0.0756791213185413,,,0.151226058114745,,,
497,15,0.075664004136063,,,,,,
498,15,0.0759963294175963,,,0.151660333553659,,,
499,15,0.0761616578991569,,,,,,
500,15,0.0760965207951495,,,0.152258178694306,,,
501,15,0.0760313588394896,,,,,,
502,15,0.0759712937837045,,,0.152002652623194,,,
503,15,0.0759078751448263,,,,,,
504,15,0.0758448618624073,,,0.151752737007234,,,
505,15,0.075782688339484,,,,,,
506,15,0.0757200616649372,,,0.151502750004421,,,
507,15,0.0756568690922786,,,,,,
508,15,0.0755923435509474,,,0.151249212643226,,,
509,15,0.0755335567314844,,,,,,
510,6,0.0755460081471415,,,,,,
511,0,0.075970217064155,,,,0.151503773795639,,
512,0,0.0761608768301907,0.152131093894346,,,,,
513,0,0.0761131698438258,,,,,,
514,0,0.0761091582198509,0.152222328063677,,,,,
515,11,0.0761741918096056,,,,,,
516,15,0.0764706784795031,,0.152579836699354,,,,
517,15,0.0766547176343341,,,0.153125396113837,,,
518,15,0.076595791901885,,,,,,
519,15,0.0765430491605243,,,0.153138841062409,,,
520,15,0.0764855644367933,,,,,,
521,15,0.0764236002595835,,,0.152909164696377,,,
522,15,0.0763973586522276,,,,,,
523,15,0.0772047506347703,,,0.153602109286998,,,
524,15,0.0774167332613529,,,,,,
525,15,0.0777800011843222,,,0.155196734445675,,,
526,15,0.0779763991556434,,,,,,
527,3,0.0782815996111743,,,,,,
528,0,0.0787281576562017,,,,0.156704556811845,,
529,0,0.0789096067300235,0.157637764386225,,,,,
530,0,0.0789648016944945,,,,,,
531,0,0.0790983238157808,0.158063125510275,,,,,
532,0,0.0790304953425618,,,,,,
533,0,0.0789581734452122,0.157988668787774,,,,,
534,0,0.0789219569771676,,,,,,
535,0,0.078944026743618,0.157865983720786,,,,,
536,0,0.0793232590178298,,,,,,
537,0,0.0792502366172256,0.158573495635055,,,,,
538,0,0.0791770731815362,,,,,,
539,0,0.079104899638552,0.158281972820088,,,,,
540,0,0.0790327131507586,,,,,,
541,0,0.0789623582246249,0.157995071375383,,,,,
542,0,0.078890295225449,,,,,,
543,0,0.0788179496765888,0.157708244902038,,,,,
544,0,0.0787462839745671,,,,,,
545,0,0.0791361493578867,0.157882433332454,,,,,
546,0,0.079181205485211,,,,,,
547,0,0.0791178873592129,0.158299092844424,,,,,
548,0,0.0790471853537262,,,,,,
549,0,0.0789764001739997,0.158023585527726,,,,,
550,0,0.0789060472159712,,,,,,
551,0,0.0788360352995352,0.157742082515506,,,,,
552,0,0.0787664038891631,,,,,,
553,0,0.0786967475369582,0.157463151426121,,,,,
554,0,0.0786268381281395,,,,,,
555,0,0.0785572919155179,0.157184130043657,,,,,
556,0,0.0784884423541977,,,,,,
557,0,0.0784195261882458,0.156907968542444,,,,,
558,0,0.0783512620765954,,,,,,
559,0,0.0782831323365619,0.156634394413157,,,,,
560,0,0.0782153505622346,,,,,,
561,0,0.0781476400900688,0.156362990652303,,,,,
562,0,0.0780800964456115,,,,,,
563,0,0.078012701228292,0.156092797673904,,,,,
564,0,0.077945397193274,,,,,,
565,0,0.0778770800891211,0.155822477282395,,,,,
566,0,0.0778096223548797,,,,,,
567,0,0.0777426418598628,0.155552264214743,,,,,
568,0,0.0776761558115472,,,,,,
569,0,0.0776104554470281,0.155286611258575,,,,,
570,0,0.077544624745714,,,,,,
571,0,0.0774794364743139,0.155024061220028,,,,,
572,0,0.0774140610802516,,,,,,
573,0,0.0773484113281556,0.154762472408407,,,,,
574,0,0.0772828814223835,,,,,,
575,0,0.0772180914256462,0.15450097284803,,,,,
576,0,0.0771533277780355,,,,,,
577,0,0.0770884189074201,0.154241746685456,,,,,
578,0,0.0770236595257548,,,,,,
579,0,0.0769592919909815,0.153982951516736,,,,,
580,0,0.0768944599916596,,,,,,
